location,origin_date,target_date,output_type_id,value,output_type,target
Merced,2024-10-31,2024-11-30,0,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,1,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,2,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,3,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,4,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,5,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,6,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,8,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,10,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,15,1,cdf,WNV cases
Merced,2024-10-31,2024-11-30,200,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,0,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,1,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,2,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,3,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,4,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,5,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,6,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,8,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,10,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,15,1,cdf,WNV cases
Placer,2024-10-31,2024-11-30,200,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,0,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,1,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,2,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,3,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,4,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,5,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,6,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,8,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,10,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,15,1,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,200,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,0,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,1,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,2,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,3,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,4,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,5,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,6,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,8,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,10,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,15,1,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,200,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,0,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,1,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,2,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,3,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,4,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,5,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,6,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,8,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,10,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,15,1,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,200,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,0,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,1,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,2,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,3,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,4,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,5,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,6,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,8,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,10,1,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,15,1,cdf,WNV cases
