location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-08-31,2024-09-30,0,0.31494,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,1,0.31494,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,2,0.42137,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,3,0.44068,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,4,0.48279,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,5,0.48705,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,6,0.73057,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,8,0.80214,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,10,0.98824,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,15,0.99815,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Kern,2024-08-31,2024-09-30,0,0.35315,cdf,WNV cases
Kern,2024-08-31,2024-09-30,1,0.35315,cdf,WNV cases
Kern,2024-08-31,2024-09-30,2,0.47307,cdf,WNV cases
Kern,2024-08-31,2024-09-30,3,0.51718,cdf,WNV cases
Kern,2024-08-31,2024-09-30,4,0.54788,cdf,WNV cases
Kern,2024-08-31,2024-09-30,5,0.55039,cdf,WNV cases
Kern,2024-08-31,2024-09-30,6,0.91084,cdf,WNV cases
Kern,2024-08-31,2024-09-30,8,0.93662,cdf,WNV cases
Kern,2024-08-31,2024-09-30,10,0.99917,cdf,WNV cases
Kern,2024-08-31,2024-09-30,15,0.99976,cdf,WNV cases
Kern,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,0,0.455,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,1,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,2,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,3,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,4,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,5,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,6,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,8,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,10,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,15,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Merced,2024-08-31,2024-09-30,0,0.33657,cdf,WNV cases
Merced,2024-08-31,2024-09-30,1,0.33657,cdf,WNV cases
Merced,2024-08-31,2024-09-30,2,0.33657,cdf,WNV cases
Merced,2024-08-31,2024-09-30,3,0.33681,cdf,WNV cases
Merced,2024-08-31,2024-09-30,4,0.33804,cdf,WNV cases
Merced,2024-08-31,2024-09-30,5,0.33973,cdf,WNV cases
Merced,2024-08-31,2024-09-30,6,0.34024,cdf,WNV cases
Merced,2024-08-31,2024-09-30,8,0.56527,cdf,WNV cases
Merced,2024-08-31,2024-09-30,10,0.91259,cdf,WNV cases
Merced,2024-08-31,2024-09-30,15,0.96735,cdf,WNV cases
Merced,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Orange,2024-08-31,2024-09-30,0,0.47192,cdf,WNV cases
Orange,2024-08-31,2024-09-30,1,0.99999,cdf,WNV cases
Orange,2024-08-31,2024-09-30,2,1.0,cdf,WNV cases
Orange,2024-08-31,2024-09-30,3,1.0,cdf,WNV cases
Orange,2024-08-31,2024-09-30,4,1.0,cdf,WNV cases
Orange,2024-08-31,2024-09-30,5,1.0,cdf,WNV cases
Orange,2024-08-31,2024-09-30,6,1.0,cdf,WNV cases
