location,origin_date,target_date,output_type_id,value,output_type,target
Merced,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
Merced,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
Merced,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
Merced,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
Merced,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
Merced,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
Merced,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
Merced,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
Merced,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
Merced,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
Merced,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Placer,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
Placer,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
Placer,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
Placer,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
Placer,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
Placer,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
Placer,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
Placer,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
Placer,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
Placer,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
Placer,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
San Joaquin,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
San Bernardino,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
Stanislaus,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Solano,2024-10-31,2024-11-30,0,0.09091,cdf,WNV cases
Solano,2024-10-31,2024-11-30,1,0.18182,cdf,WNV cases
Solano,2024-10-31,2024-11-30,2,0.27273,cdf,WNV cases
Solano,2024-10-31,2024-11-30,3,0.36364,cdf,WNV cases
Solano,2024-10-31,2024-11-30,4,0.45455,cdf,WNV cases
Solano,2024-10-31,2024-11-30,5,0.54545,cdf,WNV cases
Solano,2024-10-31,2024-11-30,6,0.63636,cdf,WNV cases
Solano,2024-10-31,2024-11-30,8,0.72727,cdf,WNV cases
Solano,2024-10-31,2024-11-30,10,0.81818,cdf,WNV cases
Solano,2024-10-31,2024-11-30,15,0.90909,cdf,WNV cases
