location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-08-31,2024-09-30,0,0.0993,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,1,0.23879,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,2,0.28534,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,3,0.41312,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,4,0.57631,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,5,0.63212,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,6,0.65481,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,8,0.80482,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,10,0.88788,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,15,0.94507,cdf,WNV cases
Fresno,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Kern,2024-08-31,2024-09-30,0,0.10966,cdf,WNV cases
Kern,2024-08-31,2024-09-30,1,0.13216,cdf,WNV cases
Kern,2024-08-31,2024-09-30,2,0.23796,cdf,WNV cases
Kern,2024-08-31,2024-09-30,3,0.39896,cdf,WNV cases
Kern,2024-08-31,2024-09-30,4,0.50618,cdf,WNV cases
Kern,2024-08-31,2024-09-30,5,0.53885,cdf,WNV cases
Kern,2024-08-31,2024-09-30,6,0.57258,cdf,WNV cases
Kern,2024-08-31,2024-09-30,8,0.77506,cdf,WNV cases
Kern,2024-08-31,2024-09-30,10,0.91955,cdf,WNV cases
Kern,2024-08-31,2024-09-30,15,0.93842,cdf,WNV cases
Kern,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,0,0.07399,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,1,0.23577,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,2,0.64986,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,3,0.78541,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,4,0.81271,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,5,0.84993,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,6,0.91471,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,8,0.94522,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,10,0.95612,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,15,0.97124,cdf,WNV cases
Los Angeles,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Merced,2024-08-31,2024-09-30,0,0.11818,cdf,WNV cases
Merced,2024-08-31,2024-09-30,1,0.13398,cdf,WNV cases
Merced,2024-08-31,2024-09-30,2,0.14848,cdf,WNV cases
Merced,2024-08-31,2024-09-30,3,0.16384,cdf,WNV cases
Merced,2024-08-31,2024-09-30,4,0.19512,cdf,WNV cases
Merced,2024-08-31,2024-09-30,5,0.33241,cdf,WNV cases
Merced,2024-08-31,2024-09-30,6,0.34718,cdf,WNV cases
Merced,2024-08-31,2024-09-30,8,0.48968,cdf,WNV cases
Merced,2024-08-31,2024-09-30,10,0.60997,cdf,WNV cases
Merced,2024-08-31,2024-09-30,15,0.81635,cdf,WNV cases
Merced,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Orange,2024-08-31,2024-09-30,0,0.12706,cdf,WNV cases
Orange,2024-08-31,2024-09-30,1,0.74162,cdf,WNV cases
Orange,2024-08-31,2024-09-30,2,0.84773,cdf,WNV cases
Orange,2024-08-31,2024-09-30,3,0.89243,cdf,WNV cases
Orange,2024-08-31,2024-09-30,4,0.92463,cdf,WNV cases
Orange,2024-08-31,2024-09-30,5,0.93623,cdf,WNV cases
Orange,2024-08-31,2024-09-30,6,0.94399,cdf,WNV cases
Orange,2024-08-31,2024-09-30,8,0.97152,cdf,WNV cases
Orange,2024-08-31,2024-09-30,10,0.97583,cdf,WNV cases
Orange,2024-08-31,2024-09-30,15,0.985,cdf,WNV cases
Orange,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Placer,2024-08-31,2024-09-30,0,0.74485,cdf,WNV cases
Placer,2024-08-31,2024-09-30,1,0.74885,cdf,WNV cases
Placer,2024-08-31,2024-09-30,2,0.75252,cdf,WNV cases
Placer,2024-08-31,2024-09-30,3,0.89586,cdf,WNV cases
Placer,2024-08-31,2024-09-30,4,0.90634,cdf,WNV cases
Placer,2024-08-31,2024-09-30,5,0.94179,cdf,WNV cases
Placer,2024-08-31,2024-09-30,6,0.94562,cdf,WNV cases
Placer,2024-08-31,2024-09-30,8,0.95587,cdf,WNV cases
Placer,2024-08-31,2024-09-30,10,0.97121,cdf,WNV cases
Placer,2024-08-31,2024-09-30,15,0.9888,cdf,WNV cases
Placer,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,0,0.11815,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,1,0.55778,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,2,0.62979,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,3,0.74155,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,4,0.79914,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,5,0.82564,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,6,0.84916,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,8,0.89811,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,10,0.92941,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,15,0.95061,cdf,WNV cases
Riverside,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,0,0.02657,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,1,0.24006,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,2,0.37781,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,3,0.68317,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,4,0.70783,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,5,0.81678,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,6,0.83738,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,8,0.89887,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,10,0.93554,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,15,0.96139,cdf,WNV cases
Sacramento,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,0,0.09824,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,1,0.52592,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,2,0.64455,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,3,0.71286,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,4,0.74082,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,5,0.77247,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,6,0.90406,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,8,0.9339,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,10,0.95773,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,15,0.97214,cdf,WNV cases
San Bernardino,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,0,0.13119,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,1,0.15095,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,2,0.46921,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,3,0.57491,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,4,0.67316,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,5,0.71568,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,6,0.73773,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,8,0.84294,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,10,0.95735,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,15,0.97367,cdf,WNV cases
San Joaquin,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Solano,2024-08-31,2024-09-30,0,0.40996,cdf,WNV cases
Solano,2024-08-31,2024-09-30,1,0.41672,cdf,WNV cases
Solano,2024-08-31,2024-09-30,2,0.42293,cdf,WNV cases
Solano,2024-08-31,2024-09-30,3,0.78292,cdf,WNV cases
Solano,2024-08-31,2024-09-30,4,0.84613,cdf,WNV cases
Solano,2024-08-31,2024-09-30,5,0.94686,cdf,WNV cases
Solano,2024-08-31,2024-09-30,6,0.95362,cdf,WNV cases
Solano,2024-08-31,2024-09-30,8,0.96128,cdf,WNV cases
Solano,2024-08-31,2024-09-30,10,0.97162,cdf,WNV cases
Solano,2024-08-31,2024-09-30,15,0.98594,cdf,WNV cases
Solano,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,0,0.15138,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,1,0.16432,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,2,0.18885,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,3,0.25375,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,4,0.35493,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,5,0.41822,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,6,0.43369,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,8,0.47501,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,10,0.56855,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,15,0.88197,cdf,WNV cases
Stanislaus,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,0,0.30859,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,1,0.32241,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,2,0.3351,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,3,0.44649,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,4,0.46911,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,5,0.5394,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,6,0.58832,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,8,0.6211,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,10,0.68215,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,15,0.88225,cdf,WNV cases
Tulare,2024-08-31,2024-09-30,200,1.0,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,0,0.86138,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,1,0.89086,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,2,0.9711,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,3,0.98179,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,4,0.98531,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,5,0.98782,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,6,0.99094,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,8,0.99418,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,10,0.99543,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,15,0.9968,cdf,WNV cases
Fresno,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
Kern,2024-08-31,2024-10-31,0,0.92553,cdf,WNV cases
Kern,2024-08-31,2024-10-31,1,0.92674,cdf,WNV cases
Kern,2024-08-31,2024-10-31,2,0.97473,cdf,WNV cases
Kern,2024-08-31,2024-10-31,3,0.98462,cdf,WNV cases
Kern,2024-08-31,2024-10-31,4,0.98826,cdf,WNV cases
Kern,2024-08-31,2024-10-31,5,0.98929,cdf,WNV cases
Kern,2024-08-31,2024-10-31,6,0.99099,cdf,WNV cases
Kern,2024-08-31,2024-10-31,8,0.99619,cdf,WNV cases
Kern,2024-08-31,2024-10-31,10,0.99701,cdf,WNV cases
Kern,2024-08-31,2024-10-31,15,0.99791,cdf,WNV cases
Kern,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,0,0.7095,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,1,0.83856,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,2,0.90754,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,3,0.93734,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,4,0.94725,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,5,0.95192,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,6,0.95885,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,8,0.98182,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,10,0.98543,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,15,0.99079,cdf,WNV cases
Los Angeles,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
Merced,2024-08-31,2024-10-31,0,0.84993,cdf,WNV cases
Merced,2024-08-31,2024-10-31,1,0.85477,cdf,WNV cases
Merced,2024-08-31,2024-10-31,2,0.85893,cdf,WNV cases
Merced,2024-08-31,2024-10-31,3,0.86384,cdf,WNV cases
Merced,2024-08-31,2024-10-31,4,0.86967,cdf,WNV cases
Merced,2024-08-31,2024-10-31,5,0.8853,cdf,WNV cases
Merced,2024-08-31,2024-10-31,6,0.89246,cdf,WNV cases
Merced,2024-08-31,2024-10-31,8,0.90987,cdf,WNV cases
Merced,2024-08-31,2024-10-31,10,0.91315,cdf,WNV cases
Merced,2024-08-31,2024-10-31,15,0.95813,cdf,WNV cases
Merced,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
Orange,2024-08-31,2024-10-31,0,0.71464,cdf,WNV cases
Orange,2024-08-31,2024-10-31,1,0.90434,cdf,WNV cases
Orange,2024-08-31,2024-10-31,2,0.94678,cdf,WNV cases
Orange,2024-08-31,2024-10-31,3,0.96538,cdf,WNV cases
Orange,2024-08-31,2024-10-31,4,0.97146,cdf,WNV cases
Orange,2024-08-31,2024-10-31,5,0.97432,cdf,WNV cases
Orange,2024-08-31,2024-10-31,6,0.9778,cdf,WNV cases
Orange,2024-08-31,2024-10-31,8,0.98886,cdf,WNV cases
Orange,2024-08-31,2024-10-31,10,0.99106,cdf,WNV cases
Orange,2024-08-31,2024-10-31,15,0.99435,cdf,WNV cases
Orange,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
Placer,2024-08-31,2024-10-31,0,0.94729,cdf,WNV cases
Placer,2024-08-31,2024-10-31,1,0.948,cdf,WNV cases
Placer,2024-08-31,2024-10-31,2,0.94861,cdf,WNV cases
Placer,2024-08-31,2024-10-31,3,0.99039,cdf,WNV cases
Placer,2024-08-31,2024-10-31,4,0.99123,cdf,WNV cases
Placer,2024-08-31,2024-10-31,5,0.99366,cdf,WNV cases
Placer,2024-08-31,2024-10-31,6,0.99466,cdf,WNV cases
Placer,2024-08-31,2024-10-31,8,0.99689,cdf,WNV cases
Placer,2024-08-31,2024-10-31,10,0.99737,cdf,WNV cases
Placer,2024-08-31,2024-10-31,15,0.99878,cdf,WNV cases
Placer,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,0,0.71325,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,1,0.91367,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,2,0.94602,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,3,0.96551,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,4,0.97256,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,5,0.97565,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,6,0.97975,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,8,0.98878,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,10,0.99076,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,15,0.99404,cdf,WNV cases
Riverside,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,0,0.73181,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,1,0.87247,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,2,0.94978,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,3,0.9655,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,4,0.97145,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,5,0.97422,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,6,0.97891,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,8,0.98898,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,10,0.99126,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,15,0.99435,cdf,WNV cases
Sacramento,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,0,0.70774,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,1,0.90535,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,2,0.95103,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,3,0.96712,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,4,0.97305,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,5,0.97606,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,6,0.97968,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,8,0.9895,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,10,0.99147,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,15,0.99449,cdf,WNV cases
San Bernardino,2024-08-31,2024-10-31,200,1.0,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,0,0.75604,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,1,0.75984,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,2,0.93761,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,3,0.95598,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,4,0.9636,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,5,0.96694,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,6,0.97341,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,8,0.9873,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,10,0.98988,cdf,WNV cases
San Joaquin,2024-08-31,2024-10-31,15,0.99348,cdf,WNV cases
