location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-05-31,2024-06-30,0,0.603571428571428,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,1,0.908309143262871,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,2,0.985238790989207,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,3,0.998185817046878,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,4,0.999820025918479,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,5,0.999985045352232,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,6,0.999998931486979,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,8,0.999999996266348,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,10,0.999999999991423,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,15,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,0,0.112380952380952,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,1,0.135551583450051,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,2,0.261549182092217,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,3,0.421873151182082,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,4,0.562438643857108,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,5,0.671959571483562,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,6,0.753789379205326,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,8,0.858566709044503,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,10,0.915965713572476,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,15,0.97365433416328,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,0,0.0014285714285714,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,1,0.01057421524621,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,2,0.0830355839426007,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,3,0.204760926790221,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,4,0.335275770554949,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,5,0.454148067519071,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,6,0.555049581937072,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,8,0.704983618584598,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,10,0.802177939997118,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,15,0.921318530808279,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,0,0.0,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,1,0.0,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,2,0.128100376823044,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,3,0.328892955321962,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,4,0.502994404235542,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,5,0.636047345128757,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,6,0.733277217138796,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,8,0.853766713312673,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,10,0.916855886371863,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,15,0.976366853392416,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,0,0.324206349206349,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,1,0.600048969273308,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,2,0.795824872952908,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,3,0.8856552829543,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,4,0.930899380919742,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,5,0.955759363739793,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,6,0.970379386110148,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,8,0.985318558081462,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,10,0.991971431768577,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,15,0.997657152450198,cdf,WNV cases
Fresno,2024-05-31,2024-10-31,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,0,0.978174603174603,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,1,0.999760074119322,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,2,0.999998238427818,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,3,0.999999990292548,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,4,0.999999999957188,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,5,0.999999999999842,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,6,0.999999999999999,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,8,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,10,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,15,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-11-30,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,0,0.991666666666667,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,1,0.999965180923262,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,2,0.999999902942859,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,3,0.999999999797035,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,4,0.99999999999966,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,5,0.999999999999999,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,6,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,8,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,10,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,15,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-12-31,200,1.0,cdf,WNV cases
Kern,2024-05-31,2024-06-30,0,0.471428571428571,cdf,WNV cases
Kern,2024-05-31,2024-06-30,1,0.471428571428571,cdf,WNV cases
Kern,2024-05-31,2024-06-30,2,0.825937049417643,cdf,WNV cases
Kern,2024-05-31,2024-06-30,3,0.959230053472627,cdf,WNV cases
Kern,2024-05-31,2024-06-30,4,0.992641619125038,cdf,WNV cases
Kern,2024-05-31,2024-06-30,5,0.998922890564937,cdf,WNV cases
Kern,2024-05-31,2024-06-30,6,0.999867578313178,cdf,WNV cases
Kern,2024-05-31,2024-06-30,8,0.999998696456932,cdf,WNV cases
Kern,2024-05-31,2024-06-30,10,0.999999991940228,cdf,WNV cases
Kern,2024-05-31,2024-06-30,15,0.999999999999895,cdf,WNV cases
Kern,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Kern,2024-05-31,2024-07-31,0,0.0569047619047619,cdf,WNV cases
Kern,2024-05-31,2024-07-31,1,0.0605969196635173,cdf,WNV cases
Kern,2024-05-31,2024-07-31,2,0.100757725659476,cdf,WNV cases
Kern,2024-05-31,2024-07-31,3,0.183458096668063,cdf,WNV cases
Kern,2024-05-31,2024-07-31,4,0.285022067844782,cdf,WNV cases
Kern,2024-05-31,2024-07-31,5,0.387126092965984,cdf,WNV cases
Kern,2024-05-31,2024-07-31,6,0.48069501254612,cdf,WNV cases
Kern,2024-05-31,2024-07-31,8,0.63217331740576,cdf,WNV cases
Kern,2024-05-31,2024-07-31,10,0.739654264685243,cdf,WNV cases
Kern,2024-05-31,2024-07-31,15,0.885427017363907,cdf,WNV cases
Kern,2024-05-31,2024-07-31,200,1.0,cdf,WNV cases
Kern,2024-05-31,2024-08-31,0,0.0569047619047619,cdf,WNV cases
Kern,2024-05-31,2024-08-31,1,0.0602236994630589,cdf,WNV cases
Kern,2024-05-31,2024-08-31,2,0.0963864062280126,cdf,WNV cases
Kern,2024-05-31,2024-08-31,3,0.172041319700426,cdf,WNV cases
Kern,2024-05-31,2024-08-31,4,0.266712725156012,cdf,WNV cases
Kern,2024-05-31,2024-08-31,5,0.363654816067191,cdf,WNV cases
Kern,2024-05-31,2024-08-31,6,0.454047555769401,cdf,WNV cases
Kern,2024-05-31,2024-08-31,8,0.603821762766988,cdf,WNV cases
Kern,2024-05-31,2024-08-31,10,0.713165194795413,cdf,WNV cases
Kern,2024-05-31,2024-08-31,15,0.86734145241282,cdf,WNV cases
Kern,2024-05-31,2024-08-31,200,1.0,cdf,WNV cases
Kern,2024-05-31,2024-09-30,0,0.0014285714285714,cdf,WNV cases
Kern,2024-05-31,2024-09-30,1,0.0036764987195602,cdf,WNV cases
Kern,2024-05-31,2024-09-30,2,0.0353000992072749,cdf,WNV cases
Kern,2024-05-31,2024-09-30,3,0.110139122657133,cdf,WNV cases
Kern,2024-05-31,2024-09-30,4,0.209671402066126,cdf,WNV cases
Kern,2024-05-31,2024-09-30,5,0.314862579401123,cdf,WNV cases
Kern,2024-05-31,2024-09-30,6,0.414549162489277,cdf,WNV cases
Kern,2024-05-31,2024-09-30,8,0.58106247358786,cdf,WNV cases
Kern,2024-05-31,2024-09-30,10,0.702265313545748,cdf,WNV cases
Kern,2024-05-31,2024-09-30,15,0.869507322835377,cdf,WNV cases
Kern,2024-05-31,2024-09-30,200,1.0,cdf,WNV cases
Kern,2024-05-31,2024-10-31,0,0.376190476190476,cdf,WNV cases
Kern,2024-05-31,2024-10-31,1,0.376190476190476,cdf,WNV cases
Kern,2024-05-31,2024-10-31,2,0.743976736103739,cdf,WNV cases
Kern,2024-05-31,2024-10-31,3,0.923761634369608,cdf,WNV cases
Kern,2024-05-31,2024-10-31,4,0.982351116300574,cdf,WNV cases
Kern,2024-05-31,2024-10-31,5,0.996671259813946,cdf,WNV cases
Kern,2024-05-31,2024-10-31,6,0.999471305193903,cdf,WNV cases
