location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-07-31,2024-08-31,0,0.005,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,1,0.0050073882231104,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,2,0.0082191153250441,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,3,0.0421607844621917,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,4,0.136769904575947,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,5,0.278771147285269,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,6,0.433633113803037,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,8,0.690546496138195,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,10,0.844686482773988,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,15,0.974613255266722,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,200,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,0,0.0,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,1,0.0,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,2,0.0039476863343725,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,3,0.182691757675653,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,4,0.410741283489952,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,5,0.607249228514425,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,6,0.748992498293697,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,8,0.902233828391819,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,10,0.962016442192862,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,15,0.995899152634053,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,200,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,0,0.386111111111111,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,1,0.753546065740015,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,2,0.928377146739771,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,3,0.98383531967347,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,4,0.997029236313848,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,5,0.999540381951789,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,6,0.999938662246843,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,8,0.99999924808084,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,10,0.999999993913778,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,15,0.999999999999991,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,200,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,0,0.972222222222222,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,1,0.999610574828732,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,2,0.999996351784532,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,3,0.999999974342918,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,4,0.99999999985558,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,5,0.999999999999322,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,6,0.999999999999997,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,8,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,10,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,15,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,200,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,0,0.994444444444444,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,1,0.999984539243625,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,2,0.999999971302477,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,3,0.999999999960042,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,4,0.999999999999955,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,5,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,6,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,8,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,10,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,15,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,200,1.0,cdf,WNV cases
Kern,2024-07-31,2024-08-31,0,0.0602777777777778,cdf,WNV cases
Kern,2024-07-31,2024-08-31,1,0.0602782509888361,cdf,WNV cases
Kern,2024-07-31,2024-08-31,2,0.060761602210061,cdf,WNV cases
Kern,2024-07-31,2024-08-31,3,0.0692977463686775,cdf,WNV cases
Kern,2024-07-31,2024-08-31,4,0.104476820292499,cdf,WNV cases
Kern,2024-07-31,2024-08-31,5,0.176525000587707,cdf,WNV cases
Kern,2024-07-31,2024-08-31,6,0.277879649072541,cdf,WNV cases
Kern,2024-07-31,2024-08-31,8,0.505280839891715,cdf,WNV cases
Kern,2024-07-31,2024-08-31,10,0.6937545646914,cdf,WNV cases
Kern,2024-07-31,2024-08-31,15,0.922963575321451,cdf,WNV cases
Kern,2024-07-31,2024-08-31,200,1.0,cdf,WNV cases
Kern,2024-07-31,2024-09-30,0,0.005,cdf,WNV cases
Kern,2024-07-31,2024-09-30,1,0.0050056639335035,cdf,WNV cases
Kern,2024-07-31,2024-09-30,2,0.0067784902976058,cdf,WNV cases
Kern,2024-07-31,2024-09-30,3,0.0250694661316865,cdf,WNV cases
Kern,2024-07-31,2024-09-30,4,0.079868358343177,cdf,WNV cases
Kern,2024-07-31,2024-09-30,5,0.171994343913321,cdf,WNV cases
Kern,2024-07-31,2024-09-30,6,0.286359356084768,cdf,WNV cases
Kern,2024-07-31,2024-09-30,8,0.517507125095208,cdf,WNV cases
Kern,2024-07-31,2024-09-30,10,0.697495225715461,cdf,WNV cases
Kern,2024-07-31,2024-09-30,15,0.916017744969986,cdf,WNV cases
Kern,2024-07-31,2024-09-30,200,1.0,cdf,WNV cases
Kern,2024-07-31,2024-10-31,0,0.433333333333333,cdf,WNV cases
Kern,2024-07-31,2024-10-31,1,0.433333333333333,cdf,WNV cases
Kern,2024-07-31,2024-10-31,2,0.795707477153601,cdf,WNV cases
Kern,2024-07-31,2024-10-31,3,0.947224808049146,cdf,WNV cases
Kern,2024-07-31,2024-10-31,4,0.989460164246997,cdf,WNV cases
Kern,2024-07-31,2024-10-31,5,0.998289972539962,cdf,WNV cases
Kern,2024-07-31,2024-10-31,6,0.999766754487775,cdf,WNV cases
Kern,2024-07-31,2024-10-31,8,0.999997169283144,cdf,WNV cases
Kern,2024-07-31,2024-10-31,10,0.999999978397202,cdf,WNV cases
Kern,2024-07-31,2024-10-31,15,0.99999999999957,cdf,WNV cases
Kern,2024-07-31,2024-10-31,200,1.0,cdf,WNV cases
Kern,2024-07-31,2024-11-30,0,0.916666666666667,cdf,WNV cases
Kern,2024-07-31,2024-11-30,1,0.916666666666667,cdf,WNV cases
Kern,2024-07-31,2024-11-30,2,0.996427095573827,cdf,WNV cases
Kern,2024-07-31,2024-11-30,3,0.999897127948075,cdf,WNV cases
Kern,2024-07-31,2024-11-30,4,0.999997772046436,cdf,WNV cases
Kern,2024-07-31,2024-11-30,5,0.999999961341832,cdf,WNV cases
Kern,2024-07-31,2024-11-30,6,0.999999999440553,cdf,WNV cases
Kern,2024-07-31,2024-11-30,8,0.999999999999925,cdf,WNV cases
Kern,2024-07-31,2024-11-30,10,1.0,cdf,WNV cases
Kern,2024-07-31,2024-11-30,15,1.0,cdf,WNV cases
Kern,2024-07-31,2024-11-30,200,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,0,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,1,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,2,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,3,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,4,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,5,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,6,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,8,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,10,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,15,1.0,cdf,WNV cases
Kern,2024-07-31,2024-12-31,200,1.0,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,0,0.005,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,1,0.358557847385688,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,2,0.691079125367016,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,3,0.842324580592169,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,4,0.913515907200863,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,5,0.949604388615084,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,6,0.969151278477231,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,8,0.987039390074979,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,10,0.993891863269975,cdf,WNV cases
Los Angeles,2024-07-31,2024-08-31,15,0.998701693464724,cdf,WNV cases
