location,origin_date,target_date,output_type_id,value,output_type,target
Merced,2024-10-31,2024-11-30,0,0.75435,cdf,WNV cases
Merced,2024-10-31,2024-11-30,1,0.75435,cdf,WNV cases
Merced,2024-10-31,2024-11-30,2,0.75435,cdf,WNV cases
Merced,2024-10-31,2024-11-30,3,0.75435,cdf,WNV cases
Merced,2024-10-31,2024-11-30,4,0.85969,cdf,WNV cases
Merced,2024-10-31,2024-11-30,5,0.85969,cdf,WNV cases
Merced,2024-10-31,2024-11-30,6,0.85969,cdf,WNV cases
Merced,2024-10-31,2024-11-30,8,0.90942,cdf,WNV cases
Merced,2024-10-31,2024-11-30,10,0.90942,cdf,WNV cases
Merced,2024-10-31,2024-11-30,15,0.95663,cdf,WNV cases
Merced,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Placer,2024-10-31,2024-11-30,0,0.75403,cdf,WNV cases
Placer,2024-10-31,2024-11-30,1,0.75403,cdf,WNV cases
Placer,2024-10-31,2024-11-30,2,0.75403,cdf,WNV cases
Placer,2024-10-31,2024-11-30,3,0.85956,cdf,WNV cases
Placer,2024-10-31,2024-11-30,4,0.85956,cdf,WNV cases
Placer,2024-10-31,2024-11-30,5,0.90925,cdf,WNV cases
Placer,2024-10-31,2024-11-30,6,0.90925,cdf,WNV cases
Placer,2024-10-31,2024-11-30,8,0.93822,cdf,WNV cases
Placer,2024-10-31,2024-11-30,10,0.95654,cdf,WNV cases
Placer,2024-10-31,2024-11-30,15,0.97719,cdf,WNV cases
Placer,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,0,0.7544,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,1,0.85983,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,2,0.90953,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,3,0.93832,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,4,0.95663,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,5,0.96886,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,6,0.9773,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,8,0.98755,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,10,0.99297,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,15,0.99818,cdf,WNV cases
Fresno,2024-10-31,2024-11-30,200,1.0,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,0,0.7542,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,1,0.90942,cdf,WNV cases
Riverside,2024-10-31,2024-11-30,2,0.95659,cdf,WNV cases
