location,origin_date,target_date,output_type_id,value,output_type,target
Merced,2024-07-31,2024-08-31,0,0.73769,cdf,WNV cases
Merced,2024-07-31,2024-08-31,1,0.73769,cdf,WNV cases
Merced,2024-07-31,2024-08-31,2,0.73769,cdf,WNV cases
Merced,2024-07-31,2024-08-31,3,0.73769,cdf,WNV cases
Merced,2024-07-31,2024-08-31,4,0.89115,cdf,WNV cases
Merced,2024-07-31,2024-08-31,5,0.89115,cdf,WNV cases
Merced,2024-07-31,2024-08-31,6,0.89115,cdf,WNV cases
Merced,2024-07-31,2024-08-31,8,0.9497,cdf,WNV cases
Merced,2024-07-31,2024-08-31,10,0.9497,cdf,WNV cases
Merced,2024-07-31,2024-08-31,15,0.98765,cdf,WNV cases
Merced,2024-07-31,2024-08-31,200,1.0,cdf,WNV cases
Placer,2024-07-31,2024-08-31,0,0.82439,cdf,WNV cases
Placer,2024-07-31,2024-08-31,1,0.82439,cdf,WNV cases
Placer,2024-07-31,2024-08-31,2,0.82439,cdf,WNV cases
Placer,2024-07-31,2024-08-31,3,0.94844,cdf,WNV cases
Placer,2024-07-31,2024-08-31,4,0.94844,cdf,WNV cases
Placer,2024-07-31,2024-08-31,5,0.98284,cdf,WNV cases
Placer,2024-07-31,2024-08-31,6,0.98284,cdf,WNV cases
Placer,2024-07-31,2024-08-31,8,0.99389,cdf,WNV cases
Placer,2024-07-31,2024-08-31,10,0.99771,cdf,WNV cases
Placer,2024-07-31,2024-08-31,15,0.99965,cdf,WNV cases
Placer,2024-07-31,2024-08-31,200,1.0,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,0,0.70891,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,1,0.86874,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,2,0.93441,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,3,0.96554,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,4,0.98136,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,5,0.98972,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,6,0.99423,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,8,0.99811,cdf,WNV cases
