location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-09-30,2024-10-31,0,0.43415,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,1,0.58983,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,2,0.71381,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,3,0.78544,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,4,0.82558,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,5,0.85808,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,6,0.88626,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,8,0.9286,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,10,0.95323,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,15,0.97587,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Kern,2024-09-30,2024-10-31,0,0.42845,cdf,WNV cases
Kern,2024-09-30,2024-10-31,1,0.45704,cdf,WNV cases
Kern,2024-09-30,2024-10-31,2,0.70334,cdf,WNV cases
Kern,2024-09-30,2024-10-31,3,0.80529,cdf,WNV cases
Kern,2024-09-30,2024-10-31,4,0.85113,cdf,WNV cases
Kern,2024-09-30,2024-10-31,5,0.87737,cdf,WNV cases
Kern,2024-09-30,2024-10-31,6,0.9034,cdf,WNV cases
Kern,2024-09-30,2024-10-31,8,0.93659,cdf,WNV cases
Kern,2024-09-30,2024-10-31,10,0.95816,cdf,WNV cases
Kern,2024-09-30,2024-10-31,15,0.97885,cdf,WNV cases
Kern,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,0,0.66513,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,1,0.87074,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,2,0.89796,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,3,0.91747,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,4,0.9307,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,5,0.94263,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,6,0.95403,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,8,0.96533,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,10,0.97683,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,15,0.98868,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Merced,2024-09-30,2024-10-31,0,0.43654,cdf,WNV cases
Merced,2024-09-30,2024-10-31,1,0.46453,cdf,WNV cases
Merced,2024-09-30,2024-10-31,2,0.53119,cdf,WNV cases
Merced,2024-09-30,2024-10-31,3,0.59685,cdf,WNV cases
Merced,2024-09-30,2024-10-31,4,0.76321,cdf,WNV cases
Merced,2024-09-30,2024-10-31,5,0.80808,cdf,WNV cases
Merced,2024-09-30,2024-10-31,6,0.83827,cdf,WNV cases
Merced,2024-09-30,2024-10-31,8,0.90594,cdf,WNV cases
Merced,2024-09-30,2024-10-31,10,0.93537,cdf,WNV cases
Merced,2024-09-30,2024-10-31,15,0.97312,cdf,WNV cases
Merced,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Orange,2024-09-30,2024-10-31,0,0.6079,cdf,WNV cases
Orange,2024-09-30,2024-10-31,1,0.85106,cdf,WNV cases
Orange,2024-09-30,2024-10-31,2,0.88532,cdf,WNV cases
Orange,2024-09-30,2024-10-31,3,0.90439,cdf,WNV cases
Orange,2024-09-30,2024-10-31,4,0.91937,cdf,WNV cases
Orange,2024-09-30,2024-10-31,5,0.93315,cdf,WNV cases
Orange,2024-09-30,2024-10-31,6,0.94667,cdf,WNV cases
Orange,2024-09-30,2024-10-31,8,0.96023,cdf,WNV cases
Orange,2024-09-30,2024-10-31,10,0.97352,cdf,WNV cases
Orange,2024-09-30,2024-10-31,15,0.98669,cdf,WNV cases
Orange,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Placer,2024-09-30,2024-10-31,0,0.48739,cdf,WNV cases
Placer,2024-09-30,2024-10-31,1,0.52321,cdf,WNV cases
Placer,2024-09-30,2024-10-31,2,0.60191,cdf,WNV cases
Placer,2024-09-30,2024-10-31,3,0.83528,cdf,WNV cases
Placer,2024-09-30,2024-10-31,4,0.86274,cdf,WNV cases
Placer,2024-09-30,2024-10-31,5,0.89118,cdf,WNV cases
Placer,2024-09-30,2024-10-31,6,0.91603,cdf,WNV cases
Placer,2024-09-30,2024-10-31,8,0.93911,cdf,WNV cases
Placer,2024-09-30,2024-10-31,10,0.96051,cdf,WNV cases
Placer,2024-09-30,2024-10-31,15,0.98041,cdf,WNV cases
Placer,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,0,0.44574,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,1,0.70995,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,2,0.80991,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,3,0.84564,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,4,0.86942,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,5,0.89422,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,6,0.91573,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,8,0.93953,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,10,0.959,cdf,WNV cases
