location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-05-31,2024-06-30,0,0.83534,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,1,0.84556,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,2,0.98255,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,3,0.99676,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,4,0.99784,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,5,0.99809,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,6,0.99888,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,8,0.99953,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,10,0.99974,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,15,0.99991,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Kern,2024-05-31,2024-06-30,0,0.40912,cdf,WNV cases
Kern,2024-05-31,2024-06-30,1,0.40962,cdf,WNV cases
Kern,2024-05-31,2024-06-30,2,0.86769,cdf,WNV cases
Kern,2024-05-31,2024-06-30,3,0.97724,cdf,WNV cases
Kern,2024-05-31,2024-06-30,4,0.97963,cdf,WNV cases
Kern,2024-05-31,2024-06-30,5,0.98203,cdf,WNV cases
Kern,2024-05-31,2024-06-30,6,0.99159,cdf,WNV cases
Kern,2024-05-31,2024-06-30,8,0.99273,cdf,WNV cases
Kern,2024-05-31,2024-06-30,10,0.99943,cdf,WNV cases
Kern,2024-05-31,2024-06-30,15,0.99969,cdf,WNV cases
Kern,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,0,0.9072,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,1,0.99989,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,2,0.99997,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,3,0.99998,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,4,0.99998,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,5,0.99999,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,6,0.99999,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,8,0.99999,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,10,1.0,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,15,1.0,cdf,WNV cases
Los Angeles,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Merced,2024-05-31,2024-06-30,0,0.91223,cdf,WNV cases
Merced,2024-05-31,2024-06-30,1,0.91258,cdf,WNV cases
Merced,2024-05-31,2024-06-30,2,0.91305,cdf,WNV cases
Merced,2024-05-31,2024-06-30,3,0.91374,cdf,WNV cases
Merced,2024-05-31,2024-06-30,4,0.97419,cdf,WNV cases
Merced,2024-05-31,2024-06-30,5,0.9929,cdf,WNV cases
Merced,2024-05-31,2024-06-30,6,0.99508,cdf,WNV cases
Merced,2024-05-31,2024-06-30,8,0.997,cdf,WNV cases
Merced,2024-05-31,2024-06-30,10,0.99868,cdf,WNV cases
Merced,2024-05-31,2024-06-30,15,0.99953,cdf,WNV cases
Merced,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Orange,2024-05-31,2024-06-30,0,0.965,cdf,WNV cases
Orange,2024-05-31,2024-06-30,1,0.99906,cdf,WNV cases
Orange,2024-05-31,2024-06-30,2,0.99994,cdf,WNV cases
Orange,2024-05-31,2024-06-30,3,0.99997,cdf,WNV cases
Orange,2024-05-31,2024-06-30,4,0.99998,cdf,WNV cases
Orange,2024-05-31,2024-06-30,5,0.99999,cdf,WNV cases
Orange,2024-05-31,2024-06-30,6,0.99999,cdf,WNV cases
Orange,2024-05-31,2024-06-30,8,0.99999,cdf,WNV cases
Orange,2024-05-31,2024-06-30,10,0.99999,cdf,WNV cases
Orange,2024-05-31,2024-06-30,15,1.0,cdf,WNV cases
Orange,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Placer,2024-05-31,2024-06-30,0,0.99886,cdf,WNV cases
Placer,2024-05-31,2024-06-30,1,0.99886,cdf,WNV cases
Placer,2024-05-31,2024-06-30,2,0.99887,cdf,WNV cases
Placer,2024-05-31,2024-06-30,3,0.99968,cdf,WNV cases
Placer,2024-05-31,2024-06-30,4,0.9997,cdf,WNV cases
Placer,2024-05-31,2024-06-30,5,0.99998,cdf,WNV cases
Placer,2024-05-31,2024-06-30,6,0.99998,cdf,WNV cases
Placer,2024-05-31,2024-06-30,8,0.99999,cdf,WNV cases
Placer,2024-05-31,2024-06-30,10,1.0,cdf,WNV cases
Placer,2024-05-31,2024-06-30,15,1.0,cdf,WNV cases
Placer,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,0,0.47569,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,1,0.96905,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,2,0.99287,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,3,0.9966,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,4,0.99763,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,5,0.99777,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,6,0.99799,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,8,0.99849,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,10,0.99905,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,15,0.99978,cdf,WNV cases
Riverside,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,0,0.38771,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,1,0.99295,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,2,0.99447,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,3,0.99857,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,4,0.99922,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,5,0.99935,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,6,0.99947,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,8,0.99967,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,10,0.99989,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,15,0.99997,cdf,WNV cases
Sacramento,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,0,0.86492,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,1,0.99602,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,2,0.99772,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,3,0.99926,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,4,0.99941,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,5,0.9995,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,6,0.99968,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,8,0.99973,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,10,0.99997,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,15,0.99999,cdf,WNV cases
San Bernardino,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
