location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-09-30,2024-09-30,0,0.023,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,1,0.162,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,2,0.394,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,3,0.694,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,4,0.869,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,5,0.951,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,6,0.984,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,8,0.998,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,10,1,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,15,1,cdf,WNV cases
Fresno,2024-09-30,2024-09-30,200,1,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,0,0.334,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,1,0.699,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,2,0.921,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,3,0.975,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,4,0.991,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,5,0.999,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,6,1,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,8,1,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,10,1,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,15,1,cdf,WNV cases
Fresno,2024-09-30,2024-10-31,200,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,0,0.892,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,1,0.978,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,2,0.998,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,3,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,4,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,5,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,6,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,8,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,10,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,15,1,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,200,1,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,0,0.929,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,1,0.979,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,2,0.996,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,3,0.998,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,4,1,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,5,1,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,6,1,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,8,1,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,10,1,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,15,1,cdf,WNV cases
Fresno,2024-09-30,2024-12-31,200,1,cdf,WNV cases
Kern,2024-09-30,2024-09-30,0,0.027,cdf,WNV cases
Kern,2024-09-30,2024-09-30,1,0.502,cdf,WNV cases
Kern,2024-09-30,2024-09-30,2,0.838,cdf,WNV cases
Kern,2024-09-30,2024-09-30,3,0.94,cdf,WNV cases
Kern,2024-09-30,2024-09-30,4,0.977,cdf,WNV cases
Kern,2024-09-30,2024-09-30,5,0.992,cdf,WNV cases
Kern,2024-09-30,2024-09-30,6,0.996,cdf,WNV cases
Kern,2024-09-30,2024-09-30,8,0.999,cdf,WNV cases
Kern,2024-09-30,2024-09-30,10,0.999,cdf,WNV cases
Kern,2024-09-30,2024-09-30,15,1,cdf,WNV cases
Kern,2024-09-30,2024-09-30,200,1,cdf,WNV cases
Kern,2024-09-30,2024-10-31,0,0.351,cdf,WNV cases
Kern,2024-09-30,2024-10-31,1,0.926,cdf,WNV cases
Kern,2024-09-30,2024-10-31,2,0.988,cdf,WNV cases
Kern,2024-09-30,2024-10-31,3,0.998,cdf,WNV cases
Kern,2024-09-30,2024-10-31,4,0.999,cdf,WNV cases
Kern,2024-09-30,2024-10-31,5,0.999,cdf,WNV cases
Kern,2024-09-30,2024-10-31,6,0.999,cdf,WNV cases
Kern,2024-09-30,2024-10-31,8,1,cdf,WNV cases
Kern,2024-09-30,2024-10-31,10,1,cdf,WNV cases
Kern,2024-09-30,2024-10-31,15,1,cdf,WNV cases
Kern,2024-09-30,2024-10-31,200,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,0,0.856,cdf,WNV cases
Kern,2024-09-30,2024-11-30,1,0.994,cdf,WNV cases
Kern,2024-09-30,2024-11-30,2,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,3,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,4,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,5,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,6,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,8,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,10,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,15,1,cdf,WNV cases
Kern,2024-09-30,2024-11-30,200,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,0,0.943,cdf,WNV cases
Kern,2024-09-30,2024-12-31,1,0.998,cdf,WNV cases
Kern,2024-09-30,2024-12-31,2,0.999,cdf,WNV cases
Kern,2024-09-30,2024-12-31,3,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,4,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,5,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,6,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,8,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,10,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,15,1,cdf,WNV cases
Kern,2024-09-30,2024-12-31,200,1,cdf,WNV cases
Los Angeles,2024-09-30,2024-09-30,0,0.024,cdf,WNV cases
Los Angeles,2024-09-30,2024-09-30,1,1,cdf,WNV cases
Los Angeles,2024-09-30,2024-09-30,2,1,cdf,WNV cases
Los Angeles,2024-09-30,2024-09-30,3,1,cdf,WNV cases
Los Angeles,2024-09-30,2024-09-30,4,1,cdf,WNV cases
Los Angeles,2024-09-30,2024-09-30,5,1,cdf,WNV cases
Los Angeles,2024-09-30,2024-09-30,6,1,cdf,WNV cases
