location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-07-31,2024-08-31,0,0.025,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,1,0.025,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,2,0.039,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,3,0.083,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,4,0.179,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,5,0.309,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,6,0.446,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,8,0.674,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,10,0.808,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,15,0.961,cdf,WNV cases
Fresno,2024-07-31,2024-08-31,200,1,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,0,0.024,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,1,0.039,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,2,0.149,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,3,0.274,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,4,0.425,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,5,0.538,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,6,0.644,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,8,0.815,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,10,0.909,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,15,0.986,cdf,WNV cases
Fresno,2024-07-31,2024-09-30,200,1,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,0,0.334,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,1,0.44,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,2,0.688,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,3,0.826,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,4,0.9,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,5,0.937,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,6,0.964,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,8,0.989,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,10,0.998,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,15,1,cdf,WNV cases
Fresno,2024-07-31,2024-10-31,200,1,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,0,0.893,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,1,0.934,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,2,0.971,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,3,0.989,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,4,0.996,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,5,1,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,6,1,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,8,1,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,10,1,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,15,1,cdf,WNV cases
Fresno,2024-07-31,2024-11-30,200,1,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,0,0.93,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,1,0.963,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,2,0.98,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,3,0.992,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,4,0.996,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,5,0.997,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,6,0.999,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,8,0.999,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,10,0.999,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,15,1,cdf,WNV cases
Fresno,2024-07-31,2024-12-31,200,1,cdf,WNV cases
Kern,2024-07-31,2024-08-31,0,0.07,cdf,WNV cases
Kern,2024-07-31,2024-08-31,1,0.07,cdf,WNV cases
Kern,2024-07-31,2024-08-31,2,0.072,cdf,WNV cases
Kern,2024-07-31,2024-08-31,3,0.093,cdf,WNV cases
Kern,2024-07-31,2024-08-31,4,0.143,cdf,WNV cases
Kern,2024-07-31,2024-08-31,5,0.219,cdf,WNV cases
Kern,2024-07-31,2024-08-31,6,0.293,cdf,WNV cases
Kern,2024-07-31,2024-08-31,8,0.467,cdf,WNV cases
Kern,2024-07-31,2024-08-31,10,0.615,cdf,WNV cases
Kern,2024-07-31,2024-08-31,15,0.833,cdf,WNV cases
Kern,2024-07-31,2024-08-31,200,1,cdf,WNV cases
Kern,2024-07-31,2024-09-30,0,0.027,cdf,WNV cases
Kern,2024-07-31,2024-09-30,1,0.036,cdf,WNV cases
Kern,2024-07-31,2024-09-30,2,0.065,cdf,WNV cases
Kern,2024-07-31,2024-09-30,3,0.111,cdf,WNV cases
Kern,2024-07-31,2024-09-30,4,0.18,cdf,WNV cases
Kern,2024-07-31,2024-09-30,5,0.263,cdf,WNV cases
Kern,2024-07-31,2024-09-30,6,0.357,cdf,WNV cases
Kern,2024-07-31,2024-09-30,8,0.515,cdf,WNV cases
Kern,2024-07-31,2024-09-30,10,0.656,cdf,WNV cases
Kern,2024-07-31,2024-09-30,15,0.869,cdf,WNV cases
Kern,2024-07-31,2024-09-30,200,1,cdf,WNV cases
Kern,2024-07-31,2024-10-31,0,0.351,cdf,WNV cases
Kern,2024-07-31,2024-10-31,1,0.458,cdf,WNV cases
Kern,2024-07-31,2024-10-31,2,0.595,cdf,WNV cases
Kern,2024-07-31,2024-10-31,3,0.697,cdf,WNV cases
Kern,2024-07-31,2024-10-31,4,0.78,cdf,WNV cases
Kern,2024-07-31,2024-10-31,5,0.843,cdf,WNV cases
Kern,2024-07-31,2024-10-31,6,0.879,cdf,WNV cases
Kern,2024-07-31,2024-10-31,8,0.939,cdf,WNV cases
Kern,2024-07-31,2024-10-31,10,0.961,cdf,WNV cases
Kern,2024-07-31,2024-10-31,15,0.98,cdf,WNV cases
Kern,2024-07-31,2024-10-31,200,1,cdf,WNV cases
Kern,2024-07-31,2024-11-30,0,0.857,cdf,WNV cases
Kern,2024-07-31,2024-11-30,1,0.897,cdf,WNV cases
Kern,2024-07-31,2024-11-30,2,0.924,cdf,WNV cases
Kern,2024-07-31,2024-11-30,3,0.958,cdf,WNV cases
Kern,2024-07-31,2024-11-30,4,0.976,cdf,WNV cases
Kern,2024-07-31,2024-11-30,5,0.984,cdf,WNV cases
Kern,2024-07-31,2024-11-30,6,0.987,cdf,WNV cases
Kern,2024-07-31,2024-11-30,8,0.995,cdf,WNV cases
