"location","origin_date","target_date","output_type_id","value","output_type","target"
"Tulare",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-07-31,0,0.95,"cdf","WNV cases"
"Tulare",2024-07-31,2024-08-31,0,0,"cdf","WNV cases"
"Tulare",2024-07-31,2024-09-30,0,0.1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-10-31,0,0.95,"cdf","WNV cases"
"Tulare",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-12-31,0,0.95,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-07-31,0,0,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-08-31,0,0.01,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-09-30,0,0.01,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-10-31,0,0.95,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-06-30,0,0.9,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-07-31,0,0.1,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-08-31,0,0.05,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-09-30,0,0.2,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-10-31,0,0.9,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-05-31,0,0.8,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-06-30,0,0.8,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-07-31,0,0,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-08-31,0,0,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-09-30,0,0,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-10-31,0,0.25,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-11-30,0,0.8,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Riverside",2024-07-31,2024-05-31,0,0,"cdf","WNV cases"
"Riverside",2024-07-31,2024-06-30,0,0,"cdf","WNV cases"
"Riverside",2024-07-31,2024-07-31,0,0.2,"cdf","WNV cases"
"Riverside",2024-07-31,2024-08-31,0,0,"cdf","WNV cases"
"Riverside",2024-07-31,2024-09-30,0,0,"cdf","WNV cases"
"Riverside",2024-07-31,2024-10-31,0,0,"cdf","WNV cases"
"Riverside",2024-07-31,2024-11-30,0,0.8,"cdf","WNV cases"
"Riverside",2024-07-31,2024-12-31,0,0.9,"cdf","WNV cases"
"Fresno",2024-07-31,2024-05-31,0,0.84,"cdf","WNV cases"
"Fresno",2024-07-31,2024-06-30,0,0.17,"cdf","WNV cases"
"Fresno",2024-07-31,2024-07-31,0,0,"cdf","WNV cases"
"Fresno",2024-07-31,2024-08-31,0,0,"cdf","WNV cases"
"Fresno",2024-07-31,2024-09-30,0,0,"cdf","WNV cases"
"Fresno",2024-07-31,2024-10-31,0,0.65,"cdf","WNV cases"
"Fresno",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Fresno",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Placer",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Placer",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Placer",2024-07-31,2024-07-31,0,0.75,"cdf","WNV cases"
"Placer",2024-07-31,2024-08-31,0,-1,"cdf","WNV cases"
"Placer",2024-07-31,2024-09-30,0,0,"cdf","WNV cases"
"Placer",2024-07-31,2024-10-31,0,0.85,"cdf","WNV cases"
"Placer",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Placer",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Kern",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Kern",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Kern",2024-07-31,2024-07-31,0,1,"cdf","WNV cases"
"Kern",2024-07-31,2024-08-31,0,0.2,"cdf","WNV cases"
"Kern",2024-07-31,2024-09-30,0,0,"cdf","WNV cases"
"Kern",2024-07-31,2024-10-31,0,0,"cdf","WNV cases"
"Kern",2024-07-31,2024-11-30,0,0.4,"cdf","WNV cases"
"Kern",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Orange",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Orange",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Orange",2024-07-31,2024-07-31,0,0.9,"cdf","WNV cases"
"Orange",2024-07-31,2024-08-31,0,0.8,"cdf","WNV cases"
"Orange",2024-07-31,2024-09-30,0,0.5,"cdf","WNV cases"
"Orange",2024-07-31,2024-10-31,0,0.25,"cdf","WNV cases"
"Orange",2024-07-31,2024-11-30,0,0.75,"cdf","WNV cases"
"Orange",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-07-31,0,0.5,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-08-31,0,0.25,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-09-30,0,0.4,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-10-31,0,0.5,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-11-30,0,0.5,"cdf","WNV cases"
"San Bernardino",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Solano",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Solano",2024-07-31,2024-06-30,0,0.5,"cdf","WNV cases"
"Solano",2024-07-31,2024-07-31,0,0.4,"cdf","WNV cases"
"Solano",2024-07-31,2024-08-31,0,0.25,"cdf","WNV cases"
"Solano",2024-07-31,2024-09-30,0,0.1,"cdf","WNV cases"
"Solano",2024-07-31,2024-10-31,0,0.2,"cdf","WNV cases"
"Solano",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Solano",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-06-30,0,0.9,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-07-31,0,0.75,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-08-31,0,0.9,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-09-30,0,0.34,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-10-31,0,0.4,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-11-30,0,0.67,"cdf","WNV cases"
"San Joaquin",2024-07-31,2024-12-31,0,0.9,"cdf","WNV cases"
"Merced",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Merced",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Merced",2024-07-31,2024-07-31,0,1,"cdf","WNV cases"
"Merced",2024-07-31,2024-08-31,0,0.25,"cdf","WNV cases"
"Merced",2024-07-31,2024-09-30,0,0.25,"cdf","WNV cases"
"Merced",2024-07-31,2024-10-31,0,0.5,"cdf","WNV cases"
"Merced",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Merced",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-05-31,1,1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-06-30,1,1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-07-31,1,0.95,"cdf","WNV cases"
"Tulare",2024-07-31,2024-08-31,1,0.0000000657767250617162,"cdf","WNV cases"
"Tulare",2024-07-31,2024-09-30,1,0.601979124626821,"cdf","WNV cases"
"Tulare",2024-07-31,2024-10-31,1,0.95,"cdf","WNV cases"
"Tulare",2024-07-31,2024-11-30,1,1,"cdf","WNV cases"
"Tulare",2024-07-31,2024-12-31,1,0.95,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-05-31,1,1,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-06-30,1,1,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-07-31,1,0.0259393844436025,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-08-31,1,0.0356799905991664,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-09-30,1,0.0262961152136151,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-10-31,1,0.95,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-11-30,1,1,"cdf","WNV cases"
"Stanislaus",2024-07-31,2024-12-31,1,1,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-05-31,1,1,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-06-30,1,0.994824464092044,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-07-31,1,0.475839206231194,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-08-31,1,0.0822877760303413,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-09-30,1,0.534079294427728,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-10-31,1,0.994824464092044,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-11-30,1,1,"cdf","WNV cases"
"Sacramento",2024-07-31,2024-12-31,1,1,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-05-31,1,0.999999999999931,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-06-30,1,0.999999999999931,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-07-31,1,0.999907138672113,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-08-31,1,0.0000000000213815221730992,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-09-30,1,0.0866862425318477,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-10-31,1,0.91495069190096,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-11-30,1,0.999999999999931,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-12-31,1,1,"cdf","WNV cases"
"Riverside",2024-07-31,2024-05-31,1,0.998493422744351,"cdf","WNV cases"
"Riverside",2024-07-31,2024-06-30,1,0.753806180744434,"cdf","WNV cases"
"Riverside",2024-07-31,2024-07-31,1,0.654895805149009,"cdf","WNV cases"
"Riverside",2024-07-31,2024-08-31,1,0.175924925197338,"cdf","WNV cases"
"Riverside",2024-07-31,2024-09-30,1,0.175924925197338,"cdf","WNV cases"
"Riverside",2024-07-31,2024-10-31,1,0.568619756436262,"cdf","WNV cases"
"Riverside",2024-07-31,2024-11-30,1,0.998432058848615,"cdf","WNV cases"
"Riverside",2024-07-31,2024-12-31,1,0.999819841308901,"cdf","WNV cases"
"Fresno",2024-07-31,2024-05-31,1,0.986456845201613,"cdf","WNV cases"
"Fresno",2024-07-31,2024-06-30,1,0.799107861814989,"cdf","WNV cases"
"Fresno",2024-07-31,2024-07-31,1,0.0000199568977412262,"cdf","WNV cases"
"Fresno",2024-07-31,2024-08-31,1,0.000000001393536203499,"cdf","WNV cases"
"Fresno",2024-07-31,2024-09-30,1,0.000000000111331978801085,"cdf","WNV cases"
"Fresno",2024-07-31,2024-10-31,1,0.930008895460095,"cdf","WNV cases"
"Fresno",2024-07-31,2024-11-30,1,1,"cdf","WNV cases"
"Fresno",2024-07-31,2024-12-31,1,1,"cdf","WNV cases"
