"location","origin_date","target_date","output_type_id","value","output_type","target"
"Fresno",2024-07-31,2024-05-31,0,0.8,"cdf","WNV cases"
"Fresno",2024-07-31,2024-06-30,0,0.7,"cdf","WNV cases"
"Fresno",2024-07-31,2024-07-31,0,0.05,"cdf","WNV cases"
"Fresno",2024-07-31,2024-08-31,0,0.05,"cdf","WNV cases"
"Fresno",2024-07-31,2024-09-30,0,0.3,"cdf","WNV cases"
"Fresno",2024-07-31,2024-10-31,0,0.6,"cdf","WNV cases"
"Fresno",2024-07-31,2024-11-30,0,0.95,"cdf","WNV cases"
"Fresno",2024-07-31,2024-12-31,0,0.95,"cdf","WNV cases"
"Kern",2024-07-31,2024-05-31,0,0.8,"cdf","WNV cases"
"Kern",2024-07-31,2024-06-30,0,0.5,"cdf","WNV cases"
"Kern",2024-07-31,2024-07-31,0,0.1,"cdf","WNV cases"
"Kern",2024-07-31,2024-08-31,0,0.05,"cdf","WNV cases"
"Kern",2024-07-31,2024-09-30,0,0.1,"cdf","WNV cases"
"Kern",2024-07-31,2024-10-31,0,0.3,"cdf","WNV cases"
"Kern",2024-07-31,2024-11-30,0,0.5,"cdf","WNV cases"
"Kern",2024-07-31,2024-12-31,0,0.95,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-05-31,0,0.8,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-06-30,0,0.8,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-07-31,0,0.1,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-08-31,0,0.01,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-09-30,0,0.01,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-10-31,0,0.05,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-11-30,0,0.6,"cdf","WNV cases"
"Los Angeles",2024-07-31,2024-12-31,0,0.8,"cdf","WNV cases"
"Merced",2024-07-31,2024-05-31,0,0.95,"cdf","WNV cases"
"Merced",2024-07-31,2024-06-30,0,0.95,"cdf","WNV cases"
"Merced",2024-07-31,2024-07-31,0,0.5,"cdf","WNV cases"
"Merced",2024-07-31,2024-08-31,0,0.05,"cdf","WNV cases"
"Merced",2024-07-31,2024-09-30,0,0.05,"cdf","WNV cases"
"Merced",2024-07-31,2024-10-31,0,0.2,"cdf","WNV cases"
"Merced",2024-07-31,2024-11-30,0,0.7,"cdf","WNV cases"
"Merced",2024-07-31,2024-12-31,0,0.95,"cdf","WNV cases"
"Orange",2024-07-31,2024-05-31,0,0.98,"cdf","WNV cases"
"Orange",2024-07-31,2024-06-30,0,0.95,"cdf","WNV cases"
"Orange",2024-07-31,2024-07-31,0,0.4,"cdf","WNV cases"
"Orange",2024-07-31,2024-08-31,0,0.4,"cdf","WNV cases"
"Orange",2024-07-31,2024-09-30,0,0.2,"cdf","WNV cases"
"Orange",2024-07-31,2024-10-31,0,0.3,"cdf","WNV cases"
"Orange",2024-07-31,2024-11-30,0,0.6,"cdf","WNV cases"
"Orange",2024-07-31,2024-12-31,0,0.95,"cdf","WNV cases"
"Placer",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Placer",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Placer",2024-07-31,2024-07-31,0,0.95,"cdf","WNV cases"
"Placer",2024-07-31,2024-08-31,0,0.4,"cdf","WNV cases"
"Placer",2024-07-31,2024-09-30,0,0.2,"cdf","WNV cases"
"Placer",2024-07-31,2024-10-31,0,0.8,"cdf","WNV cases"
"Placer",2024-07-31,2024-11-30,0,1,"cdf","WNV cases"
"Placer",2024-07-31,2024-12-31,0,1,"cdf","WNV cases"
"Riverside",2024-07-31,2024-05-31,0,1,"cdf","WNV cases"
"Riverside",2024-07-31,2024-06-30,0,1,"cdf","WNV cases"
"Riverside",2024-07-31,2024-07-31,0,0.7,"cdf","WNV cases"
"Riverside",2024-07-31,2024-08-31,0,0.3,"cdf","WNV cases"
