location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-09-15,2024-09-30,0,0.1992120841839431,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,1,0.4399412789351604,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,2,0.6402805629857666,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,3,0.7818848648785874,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,4,0.8730956541820742,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,5,0.9284155098113032,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,6,0.9605799346049896,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,8,0.9886751825830093,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,10,0.9969136939584475,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,15,0.9998966543632634,cdf,WNV cases
Fresno,2024-09-15,2024-09-30,200,1.0,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,0,0.4849008288834845,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,1,0.765649189243227,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,2,0.8990763223118705,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,3,0.9578749924608451,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,4,0.9827699017290759,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,5,0.9930519924993647,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,6,0.9972275985459026,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,8,0.9995684977574982,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,10,0.9999342585442065,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,15,0.9999994373349269,cdf,WNV cases
Fresno,2024-09-15,2024-10-31,200,1.0,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,0,0.8248957997240849,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,1,0.9609187137437067,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,2,0.9906571463009092,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,3,0.9976914290633244,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,4,0.9994183006111704,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,5,0.9998515152182981,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,6,0.9999617461516364,cdf,WNV cases
Fresno,2024-09-15,2024-11-30,8,0.999997411745992,cdf,WNV cases
